Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
5354161,SA_0000001688,COUNTRY,CIV,AFR,Africa,YEAR,2011,SEX,SEX_FMLE,,,,,,,0.7 [0.3 - 1.2],0.70184,0.25389,1.22361,,2024-06-21T08:49:58Z,2011,2011-01-01,2011-12-31
5354197,SA_0000001688,COUNTRY,LVA,EUR,Europe,YEAR,2015,SEX,SEX_MLE,,,,,,,19.3 [13.1 - 25.6],19.29576,13.13153,25.64695,,2024-06-21T08:49:58Z,2015,2015-01-01,2015-12-31
5354751,SA_0000001688,UNREGION,155,,,YEAR,2010,SEX,SEX_MLE,,,,,,,19.1 [16.3-22.0],19.10038,16.25099,22.02476,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:54Z,2010,2010-01-01,2010-12-31
5355569,SA_0000001688,COUNTRY,PHL,WPR,Western Pacific,YEAR,2009,SEX,SEX_MLE,,,,,,,9.5 [5.9 - 13.6],9.53814,5.88091,13.62718,,2024-06-21T08:49:58Z,2009,2009-01-01,2009-12-31
5355697,SA_0000001688,COUNTRY,KAZ,EUR,Europe,YEAR,2019,SEX,SEX_FMLE,,,,,,,1.4 [0.8 - 2.1],1.43467,0.80689,2.12905,,2024-06-21T08:49:58Z,2019,2019-01-01,2019-12-31
5355844,SA_0000001688,COUNTRY,GRD,AMR,Americas,YEAR,2006,SEX,SEX_BTSX,,,,,,,8.1 [5.1 - 11.2],8.1431,5.14822,11.1556,,2024-06-21T08:49:58Z,2006,2006-01-01,2006-12-31
5357254,SA_0000001688,COUNTRY,BRA,AMR,Americas,YEAR,2009,SEX,SEX_FMLE,,,,,,,3.7 [2.5 - 5.0],3.71242,2.45831,4.98394,,2024-06-21T08:49:58Z,2009,2009-01-01,2009-12-31
5357791,SA_0000001688,COUNTRY,MYS,WPR,Western Pacific,YEAR,2020,SEX,SEX_BTSX,,,,,,,0.7 [0.0 - 1.7],0.74108,0,1.73504,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
5358110,SA_0000001688,COUNTRY,KGZ,EUR,Europe,YEAR,2020,SEX,SEX_MLE,,,,,,,6.4 [3.3 - 9.7],6.40143,3.31527,9.74816,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
5358603,SA_0000001688,COUNTRY,CPV,AFR,Africa,YEAR,2016,SEX,SEX_MLE,,,,,,,9.7 [6.1 - 13.8],9.738,6.14502,13.77615,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
5359004,SA_0000001688,COUNTRY,GEO,EUR,Europe,YEAR,2010,SEX,SEX_MLE,,,,,,,25.0 [17.3 - 32.7],25.03355,17.31277,32.66204,,2024-06-21T08:49:58Z,2010,2010-01-01,2010-12-31
5359076,SA_0000001688,COUNTRY,RUS,EUR,Europe,YEAR,2020,SEX,SEX_BTSX,,,,,,,10.5 [7.2 - 13.9],10.53131,7.22994,13.93955,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
5359488,SA_0000001688,COUNTRY,TUV,WPR,Western Pacific,YEAR,2007,SEX,SEX_BTSX,,,,,,,1.3 [0.3 - 2.4],1.27031,0.34679,2.39572,,2024-06-21T08:49:58Z,2007,2007-01-01,2007-12-31
5359497,SA_0000001688,COUNTRY,NGA,AFR,Africa,YEAR,2011,SEX,SEX_FMLE,,,,,,,1.3 [0.7 - 2.0],1.29795,0.66081,2.01572,,2024-06-21T08:49:58Z,2011,2011-01-01,2011-12-31
5359632,SA_0000001688,COUNTRY,LSO,AFR,Africa,YEAR,2001,SEX,SEX_BTSX,,,,,,,3.8 [1.9 - 5.7],3.75571,1.85209,5.73903,,2024-06-21T08:49:58Z,2001,2001-01-01,2001-12-31
5360590,SA_0000001688,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2019,SEX,SEX_MLE,,,,,,,1.2 [0.2 - 2.7],1.20543,0.1634,2.66608,,2024-06-21T08:49:58Z,2019,2019-01-01,2019-12-31
5361452,SA_0000001688,COUNTRY,MKD,EUR,Europe,YEAR,2001,SEX,SEX_FMLE,,,,,,,1.7 [0.9 - 2.6],1.65888,0.88515,2.57325,,2024-06-21T08:49:58Z,2001,2001-01-01,2001-12-31
5361818,SA_0000001688,UNREGION,513,,,YEAR,2015,SEX,SEX_MLE,,,,,,,16.7 [15.1-18.4],16.69282,15.09922,18.43519,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:55Z,2015,2015-01-01,2015-12-31
5362276,SA_0000001688,COUNTRY,BRN,WPR,Western Pacific,YEAR,2016,SEX,SEX_FMLE,,,,,,,0.1 [0.0 - 0.5],0.1408,0,0.53848,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
5364046,SA_0000001688,COUNTRY,PER,AMR,Americas,YEAR,2013,SEX,SEX_FMLE,,,,,,,3.7 [2.3 - 5.1],3.69185,2.33698,5.12641,,2024-06-21T08:49:58Z,2013,2013-01-01,2013-12-31
5364401,SA_0000001688,COUNTRY,COM,AFR,Africa,YEAR,2016,SEX,SEX_MLE,,,,,,,0.4 [0.0 - 1.3],0.41088,0,1.29165,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
5364692,SA_0000001688,COUNTRY,AUS,WPR,Western Pacific,YEAR,2018,SEX,SEX_FMLE,,,,,,,4.7 [3.3 - 6.3],4.73783,3.31735,6.26529,,2024-06-21T08:49:58Z,2018,2018-01-01,2018-12-31
5364954,SA_0000001688,COUNTRY,JPN,WPR,Western Pacific,YEAR,2012,SEX,SEX_BTSX,,,,,,,6.8 [4.6 - 9.2],6.80225,4.60535,9.15352,,2024-06-21T08:49:58Z,2012,2012-01-01,2012-12-31
5366993,SA_0000001688,COUNTRY,NZL,WPR,Western Pacific,YEAR,2009,SEX,SEX_MLE,,,,,,,16.1 [11.4 - 20.7],16.09823,11.41688,20.67238,,2024-06-21T08:49:58Z,2009,2009-01-01,2009-12-31
5367488,SA_0000001688,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2011,SEX,SEX_MLE,,,,,,,1.3 [0.1 - 3.0],1.31586,0.07517,3.04482,,2024-06-21T08:49:58Z,2011,2011-01-01,2011-12-31
5367891,SA_0000001688,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2013,SEX,SEX_BTSX,,,,,,,0.0 [0.0 - 0.1],0.00894,0,0.14691,,2024-06-21T08:49:58Z,2013,2013-01-01,2013-12-31
5368400,SA_0000001688,COUNTRY,NIC,AMR,Americas,YEAR,2011,SEX,SEX_BTSX,,,,,,,3.8 [2.2 - 5.7],3.84703,2.19669,5.69846,,2024-06-21T08:49:58Z,2011,2011-01-01,2011-12-31
5368989,SA_0000001688,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2015,SEX,SEX_FMLE,,,,,,,0.0 [0.0 - 0.0],0,0,0,,2024-06-21T08:49:58Z,2015,2015-01-01,2015-12-31
5369119,SA_0000001688,COUNTRY,FJI,WPR,Western Pacific,YEAR,2005,SEX,SEX_FMLE,,,,,,,0.9 [0.3 - 1.5],0.88887,0.32467,1.5222,,2024-06-21T08:49:58Z,2005,2005-01-01,2005-12-31
5370788,SA_0000001688,COUNTRY,HUN,EUR,Europe,YEAR,2015,SEX,SEX_FMLE,,,,,,,4.7 [3.1 - 6.3],4.72085,3.14897,6.31767,,2024-06-21T08:49:58Z,2015,2015-01-01,2015-12-31
5370844,SA_0000001688,COUNTRY,FJI,WPR,Western Pacific,YEAR,2016,SEX,SEX_MLE,,,,,,,5.1 [2.1 - 8.2],5.06598,2.06096,8.22379,,2024-06-21T08:49:58Z,2016,2016-01-01,2016-12-31
5372832,SA_0000001688,UNREGION,34,,,YEAR,2015,SEX,SEX_BTSX,,,,,,,3.7 [1.9-5.4],3.68521,1.90652,5.4285,WHO Global Information System on Alcohol and Health (GISAH),2023-03-20T08:21:52Z,2015,2015-01-01,2015-12-31
5373448,SA_0000001688,COUNTRY,CHN,WPR,Western Pacific,YEAR,2000,SEX,SEX_FMLE,,,,,,,1.4 [0.7 - 2.2],1.43189,0.69979,2.236,,2024-06-21T08:49:58Z,2000,2000-01-01,2000-12-31
5373512,SA_0000001688,COUNTRY,RWA,AFR,Africa,YEAR,2018,SEX,SEX_BTSX,,,,,,,1.9 [0.7 - 3.2],1.87832,0.67134,3.23058,,2024-06-21T08:49:58Z,2018,2018-01-01,2018-12-31
5373643,SA_0000001688,COUNTRY,VCT,AMR,Americas,YEAR,2002,SEX,SEX_BTSX,,,,,,,4.7 [2.6 - 6.8],4.65311,2.61673,6.80193,,2024-06-21T08:49:58Z,2002,2002-01-01,2002-12-31
5373776,SA_0000001688,COUNTRY,HTI,AMR,Americas,YEAR,2020,SEX,SEX_FMLE,,,,,,,1.2 [0.6 - 2.0],1.24832,0.61419,1.99252,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
5374104,SA_0000001688,COUNTRY,MDA,EUR,Europe,YEAR,2003,SEX,SEX_MLE,,,,,,,19.3 [13.1 - 25.6],19.34081,13.10444,25.62081,,2024-06-21T08:49:58Z,2003,2003-01-01,2003-12-31
5374301,SA_0000001688,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2003,SEX,SEX_FMLE,,,,,,,0.0 [0.0 - 0.1],0.00973,0,0.07424,,2024-06-21T08:49:58Z,2003,2003-01-01,2003-12-31
5374719,SA_0000001688,COUNTRY,CMR,AFR,Africa,YEAR,2020,SEX,SEX_BTSX,,,,,,,9.6 [5.8 - 13.5],9.60046,5.76835,13.51927,Data is for 2020 only; it is not a three-year average.,2024-06-21T08:49:58Z,2020,2020-01-01,2020-12-31
5375445,SA_0000001688,COUNTRY,ITA,EUR,Europe,YEAR,2015,SEX,SEX_FMLE,,,,,,,3.4 [2.3 - 4.6],3.40767,2.32959,4.59427,,2024-06-21T08:49:58Z,2015,2015-01-01,2015-12-31
